Pclass,Sex,Embarked,Fare,Survival,,,upper,middle,lower,total
Lower,Male,Queenstown,Cheap,F,,T,5,3,0,
Lower,Male,Queenstown,Cheap,F,,F,2,3,3,
Lower,Female,Queenstown,Expensive,F,,total,7,6,3,16
Middle,Female,Cherbourg,Cheap,F,,,,,,
Middle,Male,Cherbourg,Cheap,F,,,,,,
Middle,Male,Cherbourg,Expensive,T,,,,,,
Middle,Female,Queenstown,Expensive,F,,,,,,
Middle,Female,Queenstown,Expensive,T,,,,,,
Middle,Male,Queenstown,Expensive,T,,,Female,Male,,
Upper,Male,Cherbourg,Cheap,T,,T,3,5,,
Upper,Male,Queenstown,Cheap,F,,F,3,5,,
Upper,Female,Cherbourg,Expensive,T,,total,6,10,16,
Upper,Male,Cherbourg,Expensive,F,,,,,,
Upper,Male,Cherbourg,Expensive,T,,,,,,
Upper,Male,Cherbourg,Expensive,T,,,,,,
Upper,Female,Queenstown,Expensive,T,,,,,,
,,,,,,,,,,
,,,,,,,Cherbourg,Queenstown,,
,,,,,,T,5,3,,
,,,,,,F,3,5,,
,,,,,,total,8,8,16,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,fare,Cheap,Expensive,,
,,,,,,T,1,7,,
,,,,,,F ,5,3,,
,,,,,,,6,10,16,
